,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Cm,C#m,Dm,D#m,Em,Fm,F#m,Gm,G#m,Am,A#m,Bm
C,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204
C#,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265
D,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225
D#,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716
E,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278
F,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378
F#,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495
G,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247
G#,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798,0.019004047158191095
A,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.04284708780573641,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404,0.03316910082702798
A#,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.020763681154319903,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764,0.014868907267288404
B,0.020763681154319903,0.04284708780573641,0.012581383072320958,0.01997184585606194,0.3066162238254443,0.016188632764385008,0.06255498856237902,0.010381840577159952,0.03580855182122119,0.0270983635403836,0.06325884216083055,0.0,0.014868907267288404,0.03316910082702798,0.019004047158191095,0.015836705965159247,0.13408411050501495,0.020059827555868378,0.026834418440964278,0.0038711947914833716,0.035016716522963225,0.008446243181418265,0.028418089037480204,0.042319197606897764
Cm,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296
C#m,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182
Dm,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556
D#m,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494
Em,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596
Fm,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686
F#m,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023
Gm,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404
G#m,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756,0.018781565656565656
Am,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.05634469696969697,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404,0.028882575757575756
A#m,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.021780303030303032,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0,0.02904040404040404
Bm,0.021780303030303032,0.05634469696969697,0.026672979797979796,0.006313131313131313,0.3503787878787879,0.013257575757575758,0.06613005050505051,0.03535353535353535,0.015625,0.030776515151515152,0.03409090909090909,0.037089646464646464,0.02904040404040404,0.028882575757575756,0.018781565656565656,0.009154040404040404,0.061395202020202023,0.009311868686868686,0.03345959595959596,0.011994949494949494,0.024305555555555556,0.02556818181818182,0.054292929292929296,0.0
